algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"BubbleSort","random | n=100 | run=1","random",-1.00,100,1,4814,2632,14892,11
"BubbleSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,99,0,198,0
"BubbleSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,4950,4950,19800,4
"BubbleSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,3120,73,6386,1
"BubbleSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,4950,4829,19558,4
"BubbleSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,4895,440,10670,2
"BubbleSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,4950,4726,19352,4
"BubbleSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,4914,2360,14548,2
"BubbleSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,4944,2772,15432,2
"BubbleSort","random | n=500 | run=1","random",-1.00,500,1,124714,61209,371846,37
"BubbleSort","entropy | h=0,00 | n=500 | run=1","entropy",0.00,500,1,499,0,998,0
"BubbleSort","reverse entropy | h=0,00 | n=500 | run=1","reverse_entropy",0.00,500,1,124750,124750,499000,42
"BubbleSort","entropy | h=0,25 | n=500 | run=1","entropy",0.25,500,1,119497,3452,245898,15
"BubbleSort","reverse entropy | h=0,25 | n=500 | run=1","reverse_entropy",0.25,500,1,124749,120748,490994,42
"BubbleSort","entropy | h=0,50 | n=500 | run=1","entropy",0.50,500,1,121264,10714,263956,12
"BubbleSort","reverse entropy | h=0,50 | n=500 | run=1","reverse_entropy",0.50,500,1,124750,115926,481352,40
"BubbleSort","entropy | h=0,75 | n=500 | run=1","entropy",0.75,500,1,124540,48992,347064,18
"BubbleSort","reverse entropy | h=0,75 | n=500 | run=1","reverse_entropy",0.75,500,1,124735,70300,390070,20
"InsertionSorting","random | n=100 | run=1","random",-1.00,100,1,2389,2296,13962,4
"InsertionSorting","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,99,0,198,0
