algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"BubbleSort","random | n=100 | run=1","random",-1.00,100,1,4779,2478,14514,10
"BubbleSort","random | n=100 | run=2","random",-1.00,100,2,4797,2662,14918,3
"BubbleSort","random | n=100 | run=3","random",-1.00,100,3,4797,2314,14222,3
"BubbleSort","random | n=100 | run=4","random",-1.00,100,4,4940,2599,15078,3
"BubbleSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,99,0,198,0
"BubbleSort","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,99,0,198,0
"BubbleSort","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,99,0,198,0
"BubbleSort","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,99,0,198,0
"BubbleSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,4950,4950,19800,3
"BubbleSort","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,4950,4950,19800,3
"BubbleSort","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,4950,4950,19800,4
"BubbleSort","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,4950,4950,19800,3
"BubbleSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,1710,51,3522,0
"BubbleSort","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,2175,45,4440,0
"BubbleSort","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,2394,101,4990,0
"BubbleSort","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,3822,153,7950,1
"BubbleSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,4950,4781,19462,3
"BubbleSort","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,4950,4873,19646,3
"BubbleSort","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,4950,4817,19534,2
