algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"BucketSort","random | n=100 | run=1","random",-1.00,100,1,0,200,401,4
"BucketSort","random | n=100 | run=2","random",-1.00,100,2,0,200,401,0
"BucketSort","random | n=100 | run=3","random",-1.00,100,3,0,200,401,0
"BucketSort","random | n=100 | run=4","random",-1.00,100,4,0,200,401,1
"BucketSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,0,200,401,0
"BucketSort","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,0,200,401,0
"BucketSort","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,0,200,401,1
"BucketSort","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,0,200,401,0
"BucketSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,0,200,401,0
"BucketSort","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,0,200,401,0
"BucketSort","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,0,200,401,1
"BucketSort","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,0,200,401,0
"BucketSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,0,200,401,0
"BucketSort","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,0,200,401,1
"BucketSort","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,0,200,401,0
"BucketSort","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,0,200,401,1
"BucketSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,0,200,401,0
"BucketSort","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,0,200,401,0
"BucketSort","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,0,200,401,0
"BucketSort","reverse entropy | h=0,25 | n=100 | run=4","reverse_entropy",0.25,100,4,0,200,401,0
"BucketSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,0,200,401,0
"BucketSort","entropy | h=0,50 | n=100 | run=2","entropy",0.50,100,2,0,200,401,0
"BucketSort","entropy | h=0,50 | n=100 | run=3","entropy",0.50,100,3,0,200,401,0
"BucketSort","entropy | h=0,50 | n=100 | run=4","entropy",0.50,100,4,0,200,401,0
"BucketSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,0,200,401,1
"BucketSort","reverse entropy | h=0,50 | n=100 | run=2","reverse_entropy",0.50,100,2,0,200,401,0
"BucketSort","reverse entropy | h=0,50 | n=100 | run=3","reverse_entropy",0.50,100,3,0,200,401,1
"BucketSort","reverse entropy | h=0,50 | n=100 | run=4","reverse_entropy",0.50,100,4,0,200,401,0
"BucketSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,0,200,401,1
"BucketSort","entropy | h=0,75 | n=100 | run=2","entropy",0.75,100,2,0,200,401,0
"BucketSort","entropy | h=0,75 | n=100 | run=3","entropy",0.75,100,3,0,200,401,1
"BucketSort","entropy | h=0,75 | n=100 | run=4","entropy",0.75,100,4,0,200,401,0
"BucketSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,0,200,401,0
