algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"CombSort","random | n=100 | run=1","random",-1.00,100,1,1201,253,2908,8
"CombSort","random | n=100 | run=2","random",-1.00,100,2,1399,253,3304,2
"CombSort","random | n=100 | run=3","random",-1.00,100,3,1201,258,2918,1
"CombSort","random | n=100 | run=4","random",-1.00,100,4,1201,256,2914,1
"CombSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,1003,0,2006,1
"CombSort","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,1003,0,2006,1
"CombSort","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,1003,0,2006,0
"CombSort","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,1003,0,2006,1
"CombSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,1102,122,2448,1
"CombSort","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,1102,122,2448,1
"CombSort","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,1102,122,2448,0
"CombSort","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,1102,122,2448,1
"CombSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,1201,83,2568,1
"CombSort","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,1201,69,2540,0
"CombSort","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,1201,55,2512,0
"CombSort","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,1201,47,2496,1
"CombSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,1102,147,2498,0
"CombSort","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,1102,163,2530,0
"CombSort","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,1201,173,2748,1
"CombSort","reverse entropy | h=0,25 | n=100 | run=4","reverse_entropy",0.25,100,4,1201,147,2696,0
"CombSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,1201,136,2674,0
"CombSort","entropy | h=0,50 | n=100 | run=2","entropy",0.50,100,2,1201,144,2690,1
"CombSort","entropy | h=0,50 | n=100 | run=3","entropy",0.50,100,3,1201,180,2762,1
"CombSort","entropy | h=0,50 | n=100 | run=4","entropy",0.50,100,4,1201,138,2678,0
"CombSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,1102,202,2608,1
"CombSort","reverse entropy | h=0,50 | n=100 | run=2","reverse_entropy",0.50,100,2,1201,184,2770,0
"CombSort","reverse entropy | h=0,50 | n=100 | run=3","reverse_entropy",0.50,100,3,1300,232,3064,0
"CombSort","reverse entropy | h=0,50 | n=100 | run=4","reverse_entropy",0.50,100,4,1201,216,2834,1
"CombSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,1300,262,3124,1
