algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"CocktailShakerSort","random | n=100 | run=1","random",-1.00,100,1,3895,2312,12414,20
"CocktailShakerSort","random | n=100 | run=2","random",-1.00,100,2,3799,2541,12680,2
"CocktailShakerSort","random | n=100 | run=3","random",-1.00,100,3,3895,2471,12732,2
"CocktailShakerSort","random | n=100 | run=4","random",-1.00,100,4,4032,2664,13392,3
"CocktailShakerSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,99,0,198,0
"CocktailShakerSort","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,99,0,198,0
"CocktailShakerSort","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,99,0,198,0
"CocktailShakerSort","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,99,0,198,0
"CocktailShakerSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,5000,4950,19900,3
"CocktailShakerSort","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,5000,4950,19900,4
"CocktailShakerSort","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,5000,4950,19900,3
"CocktailShakerSort","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,5000,4950,19900,3
"CocktailShakerSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,487,181,1336,0
"CocktailShakerSort","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,295,111,812,0
"CocktailShakerSort","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,487,103,1180,1
"CocktailShakerSort","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,295,181,952,0
"CocktailShakerSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,4998,4853,19702,3
"CocktailShakerSort","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,4992,4727,19438,3
"CocktailShakerSort","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,4998,4813,19622,3
"CocktailShakerSort","reverse entropy | h=0,25 | n=100 | run=4","reverse_entropy",0.25,100,4,4992,4721,19426,3
"CocktailShakerSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,859,374,2466,1
"CocktailShakerSort","entropy | h=0,50 | n=100 | run=2","entropy",0.50,100,2,675,314,1978,0
"CocktailShakerSort","entropy | h=0,50 | n=100 | run=3","entropy",0.50,100,3,675,342,2034,0
"CocktailShakerSort","entropy | h=0,50 | n=100 | run=4","entropy",0.50,100,4,859,366,2450,0
"CocktailShakerSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,4982,4538,19040,3
"CocktailShakerSort","reverse entropy | h=0,50 | n=100 | run=2","reverse_entropy",0.50,100,2,4968,4432,18800,2
"CocktailShakerSort","reverse entropy | h=0,50 | n=100 | run=3","reverse_entropy",0.50,100,3,4987,4574,19122,1
"CocktailShakerSort","reverse entropy | h=0,50 | n=100 | run=4","reverse_entropy",0.50,100,4,4992,4642,19268,1
"CocktailShakerSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,3139,2026,10330,1
"CocktailShakerSort","entropy | h=0,75 | n=100 | run=2","entropy",0.75,100,2,3259,2142,10802,1
"CocktailShakerSort","entropy | h=0,75 | n=100 | run=3","entropy",0.75,100,3,3432,2166,11196,1
"CocktailShakerSort","entropy | h=0,75 | n=100 | run=4","entropy",0.75,100,4,3259,2108,10734,1
"CocktailShakerSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,4159,2922,14162,1
