algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"InsertionSorting","random | n=100 | run=1","random",-1.00,100,1,2432,2337,9538,23
"InsertionSorting","random | n=100 | run=2","random",-1.00,100,2,2628,2534,10324,3
"InsertionSorting","random | n=100 | run=3","random",-1.00,100,3,2647,2554,10402,2
"InsertionSorting","random | n=100 | run=4","random",-1.00,100,4,2582,2486,10136,2
"InsertionSorting","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,99,0,198,0
"InsertionSorting","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,99,0,198,0
"InsertionSorting","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,99,0,198,0
"InsertionSorting","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,99,0,198,0
"InsertionSorting","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,4950,4950,19800,3
"InsertionSorting","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,4950,4950,19800,4
"InsertionSorting","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,4950,4950,19800,3
"InsertionSorting","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,4950,4950,19800,3
"InsertionSorting","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,202,103,610,0
"InsertionSorting","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,238,139,754,0
"InsertionSorting","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,152,53,410,0
"InsertionSorting","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,210,111,642,1
"InsertionSorting","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,4918,4883,19602,3
"InsertionSorting","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,4922,4893,19630,3
"InsertionSorting","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,4844,4801,19290,3
"InsertionSorting","reverse entropy | h=0,25 | n=100 | run=4","reverse_entropy",0.25,100,4,4937,4925,19724,3
"InsertionSorting","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,423,324,1494,1
"InsertionSorting","entropy | h=0,50 | n=100 | run=2","entropy",0.50,100,2,625,526,2302,0
"InsertionSorting","entropy | h=0,50 | n=100 | run=3","entropy",0.50,100,3,417,320,1474,0
"InsertionSorting","entropy | h=0,50 | n=100 | run=4","entropy",0.50,100,4,537,438,1950,0
"InsertionSorting","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,4589,4496,18170,3
"InsertionSorting","reverse entropy | h=0,50 | n=100 | run=2","reverse_entropy",0.50,100,2,4736,4656,18784,3
