algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"PancakeSort","random | n=100 | run=1","random",-1.00,100,1,5148,3649,24892,14
"PancakeSort","random | n=100 | run=2","random",-1.00,100,2,5148,3580,24616,2
"PancakeSort","random | n=100 | run=3","random",-1.00,100,3,5148,3671,24980,2
"PancakeSort","random | n=100 | run=4","random",-1.00,100,4,5148,3549,24492,2
"PancakeSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,5148,0,10296,1
"PancakeSort","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,5148,0,10296,1
"PancakeSort","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,5148,0,10296,1
"PancakeSort","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,5148,0,10296,1
"PancakeSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,5148,50,10496,1
"PancakeSort","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,5148,50,10496,1
"PancakeSort","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,5148,50,10496,1
"PancakeSort","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,5148,50,10496,1
"PancakeSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,5148,487,12244,1
"PancakeSort","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,5148,421,11980,1
"PancakeSort","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,5148,363,11748,1
"PancakeSort","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,5148,293,11468,1
"PancakeSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,5148,481,12220,1
"PancakeSort","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,5148,465,12156,1
"PancakeSort","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,5148,277,11404,1
"PancakeSort","reverse entropy | h=0,25 | n=100 | run=4","reverse_entropy",0.25,100,4,5148,399,11892,1
"PancakeSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,5148,950,14096,1
"PancakeSort","entropy | h=0,50 | n=100 | run=2","entropy",0.50,100,2,5148,814,13552,1
"PancakeSort","entropy | h=0,50 | n=100 | run=3","entropy",0.50,100,3,5148,646,12880,1
"PancakeSort","entropy | h=0,50 | n=100 | run=4","entropy",0.50,100,4,5148,928,14008,1
"PancakeSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,5148,876,13800,1
"PancakeSort","reverse entropy | h=0,50 | n=100 | run=2","reverse_entropy",0.50,100,2,5148,1170,14976,1
"PancakeSort","reverse entropy | h=0,50 | n=100 | run=3","reverse_entropy",0.50,100,3,5148,708,13128,1
"PancakeSort","reverse entropy | h=0,50 | n=100 | run=4","reverse_entropy",0.50,100,4,5148,1262,15344,1
"PancakeSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,5148,3746,25280,1
"PancakeSort","entropy | h=0,75 | n=100 | run=2","entropy",0.75,100,2,5148,3444,24072,2
"PancakeSort","entropy | h=0,75 | n=100 | run=3","entropy",0.75,100,3,5148,3594,24672,1
"PancakeSort","entropy | h=0,75 | n=100 | run=4","entropy",0.75,100,4,5148,3676,25000,2
"PancakeSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,5148,3364,23752,1
