algorithm,generatorLabel,generatorType,entropy,size,run,comparisons,swaps,accesses,timeMs
"QuickSort","random | n=100 | run=1","random",-1.00,100,1,653,459,2097,5
"QuickSort","random | n=100 | run=2","random",-1.00,100,2,647,348,1758,1
"QuickSort","random | n=100 | run=3","random",-1.00,100,3,602,349,1716,1
"QuickSort","random | n=100 | run=4","random",-1.00,100,4,708,500,2276,1
"QuickSort","entropy | h=0,00 | n=100 | run=1","entropy",0.00,100,1,4950,5049,20196,3
"QuickSort","entropy | h=0,00 | n=100 | run=2","entropy",0.00,100,2,4950,5049,20196,2
"QuickSort","entropy | h=0,00 | n=100 | run=3","entropy",0.00,100,3,4950,5049,20196,3
"QuickSort","entropy | h=0,00 | n=100 | run=4","entropy",0.00,100,4,4950,5049,20196,2
"QuickSort","reverse entropy | h=0,00 | n=100 | run=1","reverse_entropy",0.00,100,1,4950,2549,12696,1
"QuickSort","reverse entropy | h=0,00 | n=100 | run=2","reverse_entropy",0.00,100,2,4950,2549,12696,1
"QuickSort","reverse entropy | h=0,00 | n=100 | run=3","reverse_entropy",0.00,100,3,4950,2549,12696,2
"QuickSort","reverse entropy | h=0,00 | n=100 | run=4","reverse_entropy",0.00,100,4,4950,2549,12696,1
"QuickSort","entropy | h=0,25 | n=100 | run=1","entropy",0.25,100,1,2415,2385,9666,1
"QuickSort","entropy | h=0,25 | n=100 | run=2","entropy",0.25,100,2,2668,2119,9121,0
"QuickSort","entropy | h=0,25 | n=100 | run=3","entropy",0.25,100,3,3646,3633,14641,1
"QuickSort","entropy | h=0,25 | n=100 | run=4","entropy",0.25,100,4,2161,1155,5722,0
"QuickSort","reverse entropy | h=0,25 | n=100 | run=1","reverse_entropy",0.25,100,1,3211,1686,8363,0
"QuickSort","reverse entropy | h=0,25 | n=100 | run=2","reverse_entropy",0.25,100,2,1858,951,4803,1
"QuickSort","reverse entropy | h=0,25 | n=100 | run=3","reverse_entropy",0.25,100,3,1825,976,4847,0
"QuickSort","reverse entropy | h=0,25 | n=100 | run=4","reverse_entropy",0.25,100,4,2043,1023,5204,1
"QuickSort","entropy | h=0,50 | n=100 | run=1","entropy",0.50,100,1,1264,663,3340,0
"QuickSort","entropy | h=0,50 | n=100 | run=2","entropy",0.50,100,2,2241,2046,8463,0
"QuickSort","entropy | h=0,50 | n=100 | run=3","entropy",0.50,100,3,1318,951,4255,0
"QuickSort","entropy | h=0,50 | n=100 | run=4","entropy",0.50,100,4,1120,587,2970,0
"QuickSort","reverse entropy | h=0,50 | n=100 | run=1","reverse_entropy",0.50,100,1,1089,646,3112,0
"QuickSort","reverse entropy | h=0,50 | n=100 | run=2","reverse_entropy",0.50,100,2,2743,1374,6951,1
"QuickSort","reverse entropy | h=0,50 | n=100 | run=3","reverse_entropy",0.50,100,3,3284,1693,8448,1
"QuickSort","reverse entropy | h=0,50 | n=100 | run=4","reverse_entropy",0.50,100,4,1075,625,3035,0
"QuickSort","entropy | h=0,75 | n=100 | run=1","entropy",0.75,100,1,684,355,1816,0
"QuickSort","entropy | h=0,75 | n=100 | run=2","entropy",0.75,100,2,641,350,1757,0
"QuickSort","entropy | h=0,75 | n=100 | run=3","entropy",0.75,100,3,640,379,1844,0
"QuickSort","entropy | h=0,75 | n=100 | run=4","entropy",0.75,100,4,677,370,1854,1
"QuickSort","reverse entropy | h=0,75 | n=100 | run=1","reverse_entropy",0.75,100,1,606,358,1744,0
"QuickSort","reverse entropy | h=0,75 | n=100 | run=2","reverse_entropy",0.75,100,2,616,370,1791,0
"QuickSort","reverse entropy | h=0,75 | n=100 | run=3","reverse_entropy",0.75,100,3,702,343,1797,0
"QuickSort","reverse entropy | h=0,75 | n=100 | run=4","reverse_entropy",0.75,100,4,703,346,1808,0
"QuickSort","random | n=500 | run=1","random",-1.00,500,1,5027,2409,12591,1
"QuickSort","random | n=500 | run=2","random",-1.00,500,2,4708,2447,12388,1
"QuickSort","random | n=500 | run=3","random",-1.00,500,3,4773,2592,12880,1
"QuickSort","random | n=500 | run=4","random",-1.00,500,4,4561,2689,12968,1
"QuickSort","entropy | h=0,00 | n=500 | run=1","entropy",0.00,500,1,124750,125249,500996,45
"QuickSort","entropy | h=0,00 | n=500 | run=2","entropy",0.00,500,2,124750,125249,500996,38
"QuickSort","entropy | h=0,00 | n=500 | run=3","entropy",0.00,500,3,124750,125249,500996,77
"QuickSort","entropy | h=0,00 | n=500 | run=4","entropy",0.00,500,4,124750,125249,500996,81
"QuickSort","reverse entropy | h=0,00 | n=500 | run=1","reverse_entropy",0.00,500,1,124750,62749,313496,17
"QuickSort","reverse entropy | h=0,00 | n=500 | run=2","reverse_entropy",0.00,500,2,124750,62749,313496,21
"QuickSort","reverse entropy | h=0,00 | n=500 | run=3","reverse_entropy",0.00,500,3,124750,62749,313496,46
"QuickSort","reverse entropy | h=0,00 | n=500 | run=4","reverse_entropy",0.00,500,4,124750,62749,313496,21
"QuickSort","entropy | h=0,25 | n=500 | run=1","entropy",0.25,500,1,24142,16583,74245,5
"QuickSort","entropy | h=0,25 | n=500 | run=2","entropy",0.25,500,2,32328,23534,103303,7
"QuickSort","entropy | h=0,25 | n=500 | run=3","entropy",0.25,500,3,28069,3988,40436,3
"QuickSort","entropy | h=0,25 | n=500 | run=4","entropy",0.25,500,4,24916,3207,34928,3
"QuickSort","reverse entropy | h=0,25 | n=500 | run=1","reverse_entropy",0.25,500,1,11892,6481,31798,2
"QuickSort","reverse entropy | h=0,25 | n=500 | run=2","reverse_entropy",0.25,500,2,17152,8872,44230,3
"QuickSort","reverse entropy | h=0,25 | n=500 | run=3","reverse_entropy",0.25,500,3,16472,8541,42558,3
"QuickSort","reverse entropy | h=0,25 | n=500 | run=4","reverse_entropy",0.25,500,4,32334,16626,82671,6
